"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/manujamatia/Desktop/Main(TechGadgetHub)(Main)/context/AuthContext.js", "JavaScript", 175, 0, 32, 207
"/Users/manujamatia/Desktop/Main(TechGadgetHub)(Main)/context/CartContext.js", "JavaScript", 91, 1, 22, 114
"/Users/manujamatia/Desktop/Main(TechGadgetHub)(Main)/context/CategoryContext.js", "JavaScript", 66, 5, 18, 89
"/Users/manujamatia/Desktop/Main(TechGadgetHub)(Main)/context/OrderContext.js", "JavaScript", 69, 0, 15, 84
"/Users/manujamatia/Desktop/Main(TechGadgetHub)(Main)/context/ProductContext.js", "JavaScript", 119, 0, 22, 141
"Total", "-", 520, 6, 109, 635
