"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"/Users/manujamatia/Desktop/Main(TechGadgetHub)(Main)/data/product.json", "JSON", 0, -8, 0, -1, -9
"/Users/manujamatia/Desktop/Main(TechGadgetHub)(Main)/data/products.json", "JSON", 0, -90, 0, -1, -91
"/Users/manujamatia/Desktop/Main(TechGadgetHub)(Main)/helpers/helpers.js", "JavaScript", 24, 0, 0, 6, 30
"Total", "-", 24, -98, 0, 4, -70
